text,emotion
I am very happy today,happy
I feel wonderful,happy
I am so excited,happy
Today is a great day,happy
I am feeling good,happy
I love this moment,happy
I am very sad,sad
I feel lonely,sad
Today is a terrible day,sad
I am feeling unhappy,sad
I want to cry,sad
I feel disappointed,sad
I am very angry,angry
This makes me angry,angry
I hate this situation,angry
I am frustrated,angry
That was really annoying,angry
I am furious,angry
I am scared,fear
I am afraid,fear
This situation frightens me,fear
I feel nervous,fear
I am worried,fear
I am terrified,fear
I love my family,love
I love this person,love
I care about you,love
You mean a lot to me,love
I feel loved,love
I really like you,love
Wow that is amazing,surprise
I cannot believe this,surprise
This is unexpected,surprise
What a surprise,surprise
I did not expect that,surprise
That shocked me,surprise
The weather is normal,neutral
I am going to college,neutral
I have a class today,neutral
I am studying now,neutral
The college opens at nine,neutral
I have an assignment,neutral
